tsne1,tsne2,identifier,name,nodetype
-20.314487,7.3326654,FOODON:03310840,"beef (raw, lean)",Food
9.1279,-19.338675,FOODON:03305236,avocado (raw),Food
12.342711,-0.67572415,FOODON:03411223,mussel,Food
39.362186,4.2129574,FOODON:00003108,barley seed (raw),Food
-2.9111996,-13.726568,FOODON:00003060,pita bread,Food
16.071213,16.625874,FOODON:00002473,apple,Food
20.66476,-3.410032,FOODON:00002718,ginger root,Food
-43.022808,1.5365007,FOODON:03308146,pacific oyster (raw),Food
-39.132393,18.643316,FOODON:03315784,chickpea (canned),Food
-31.596066,8.189889,FOODON:03315342,cake (sponge),Food
-6.319132,2.0413752,FOODON:03311604,black currant (raw),Food
20.503626,-20.065588,FOODON:00003031,savoy cabbage head (raw),Food
30.380533,-8.561498,FOODON:03302672,milk (fermented),Food
-13.1414995,-7.819504,FOODON:00003579,navel orange,Food
12.551658,27.60224,FOODON:03411633,whelk,Food
-2.3136337,-12.243975,FOODON:03301944,raisin bread,Food
-12.485196,8.915522,FOODON:03302920,curry paste,Food
31.642155,-0.37358716,FOODON:00003063,arabica coffee (liquid),Food
-36.850037,-0.8508844,FOODON:03311663,beef steak (raw),Food
-33.261715,10.257275,FOODON:03302946,custard,Food
-13.241561,19.830503,FOODON:00002743,roll or bun,Food
24.141472,-17.658785,FOODON:03304859,kale leaf (raw),Food
-45.056015,-6.144714,FOODON:03306544,turkey breast (raw),Food
-1.842937,-19.686796,FOODON:00002753,bean,Food
-3.7570302,4.2503405,FOODON:03301842,curry powder,Food
-28.123693,-13.028438,FOODON:00002515,carrot cake,Food
-7.717003,3.4986713,FOODON:03309719,moth bean,Food
12.006655,-15.282657,FOODON:00003143,bulgur,Food
-28.439552,8.471348,FOODON:03301595,wheat germ,Food
-28.157175,13.851126,FOODON:03309779,red kidney bean,Food
-34.53762,-2.9333313,FOODON:03411569,golden chanterelle,Food
-4.1677794,-23.04374,FOODON:00003206,peanut,Food
-21.227448,16.421858,FOODON:03310594,raspberry (frozen),Food
-36.23917,20.203655,FOODON:00003787,white rice,Food
12.825776,13.460638,FOODON:00003046,softneck garlic,Food
-24.983456,6.927197,FOODON:03305103,meat (cooked),Food
6.2134886,-19.228098,FOODON:03310351,butter,Food
-42.07226,-6.769141,FOODON:03308066,cod (smoked),Food
-22.36656,-18.95737,FOODON:03302655,"coffee (decaffeinated, instant)",Food
-26.107191,8.428352,FOODON:00003049,hummus,Food
5.6347704,7.132579,FOODON:00002686,spiny lobster,Food
-11.183587,8.013507,FOODON:03301179,chicken liver (raw),Food
-37.250107,9.195053,FOODON:03310166,chicken thigh (raw),Food
-44.342834,-9.5920105,FOODON:03302735,pork (raw),Food
7.674835,5.8455153,FOODON:03310120,purslane leaf (raw),Food
-12.518027,-7.0180593,FOODON:00003428,maize cob,Food
35.145653,-3.5899646,FOODON:03317254,beetroot,Food
-23.936451,16.871317,FOODON:03304537,chickpea flour,Food
33.64874,1.5251153,FOODON:03305806,green bean pod,Food
-10.355815,23.057692,FOODON:03316532,"tomato (whole or pieces, raw)",Food
30.8676,16.095272,FOODON:00003277,rooibos tea (steeped),Food
2.727316,17.63719,FOODON:00003085,japanese chestnut (raw),Food
3.8602974,11.5707855,FOODON:03305165,breadnut tree seed,Food
-24.703547,16.637236,FOODON:03311444,wheat bran breakfast cereal,Food
-24.937546,-7.3936625,FOODON:03301103,orange juice,Food
8.100055,28.923128,FOODON:03305576,fish roe (raw),Food
34.308838,-15.84792,FOODON:00002937,soursop,Food
-45.536823,2.5902603,FOODON:00002673,chicken skin,Food
2.1568434,-30.527184,FOODON:03411346,quail,Food
-33.37149,4.902176,FOODON:03315258,pancake,Food
1.2424245,-18.347908,FOODON:03302343,cornbread,Food
-37.318253,10.723018,FOODON:03311007,pork shoulder (raw),Food
32.461407,-15.40162,FOODON:03304566,rose hip (raw),Food
-7.2672696,-33.6057,FOODON:03301300,pea,Food
-26.94167,8.806148,FOODON:00002711,cracker,Food
-19.994484,14.286885,FOODON:03309926,california valencia orange (raw),Food
-45.828556,3.60291,FOODON:03302374,scallop (raw),Food
-17.869926,10.227752,FOODON:00002426,arugula greens (raw),Food
-13.563151,-8.801992,FOODON:03413721,sweet onion plant,Food
-2.1259127,-15.181417,FOODON:03315361,adzuki bean,Food
-19.621735,17.384563,FOODON:03301236,blackberry (raw),Food
-0.59146565,-18.25148,FOODON:03309554,bagel,Food
-41.424454,-14.70815,FOODON:00003059,piki,Food
21.3256,11.064713,FOODON:03309832,orange (raw),Food
-8.813727,7.0344887,FOODON:00003119,salmonberry (raw),Food
0.4256686,-16.4316,FOODON:03302473,oatmeal bread,Food
-4.0849504,17.504972,FOODON:03309834,cowpea (raw),Food
29.192352,4.738467,FOODON:00003007,saskatoon berry,Food
16.424345,-9.956251,FOODON:03315233,walnut (raw),Food
26.938686,-15.37101,FOODON:00002942,parsley leaf,Food
-27.857533,-3.8735385,FOODON:03301889,cream cheese,Food
-22.57717,-4.8135915,FOODON:03306893,berry (raw),Food
-32.89297,10.832489,FOODON:03309852,croissant,Food
16.571533,-8.061991,FOODON:00002280,stone pine nut food product,Food
-1.2904315,4.1428194,FOODON:03310841,turmeric (ground),Food
-33.940742,2.8078864,FOODON:03302379,garlic bread,Food
34.206665,2.4309103,FOODON:03306726,sweet green pepper (raw),Food
22.323248,-9.567842,FOODON:03301370,jerusalem artichoke (raw),Food
-8.6601,-7.3514132,FOODON:03301756,apricot (dried),Food
35.17246,4.8345494,FOODON:00003012,yellow bell pepper (raw),Food
-1.6111919,-24.839354,FOODON:03310710,tortilla chip,Food
18.241236,-21.177835,FOODON:03301326,cabbage head (raw),Food
11.328448,-14.858499,FOODON:00003154,spelt kernel,Food
2.0380857,-0.944123,FOODON:03301702,grapefruit (raw),Food
9.838627,-13.4900465,FOODON:03301107,nectarine (raw),Food
-38.073593,-17.00654,DOID:4500,hypokalemia,Disease
-25.23076,-0.83998835,DOID:8454,riboflavin_deficiency,Disease
20.164204,22.44335,DOID:0050336,hypophosphatemia,Disease
35.588676,-17.423775,DOID:11249,vitamin_K_deficiency_bleeding,Disease
-7.2908688,-33.620384,DOID:8457,pellagra,Disease
29.346966,14.006311,DOID:13579,kwashiorkor,Disease
-28.548239,-5.9669094,DOID:14026,folic_acid_deficiency_anemia,Disease
-2.0695517,-3.9209704,DOID:11476,osteoporosis,Disease
-37.96687,12.129806,DOID:2355,anemia,Disease
15.889297,17.766613,DOID:4195,hyperglycemia,Disease
17.555246,8.111809,DOID:13725,beriberi,Disease
-29.169874,-11.205588,DOID:13381,pernicious_anemia,Disease
19.96427,12.204451,DOID:1920,hyperuricemia,Disease
26.236938,3.9855864,DOID:10138,xerophthalmia,Disease
-0.2445012,3.903742,DOID:12328,marasmus,Disease
0.47470266,-26.824492,DOID:9970,obesity,Disease
